gene_symbol	variants	broad_loci_500kb	axes	axis_count	score_bands	source_sets	single_gene_variant_count	three_dimensional_link_count	crispr_link_count	catalog_distinct_exact_rsid_count	max_n_traits	max_n_families	median_max_score	example_variants
C11ORF24	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	4	0.29278473	rs648438;rs2512622
CARD10	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	4	0.32418139999999995	rs3761441;rs2071840
CCDC74A	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	8	4	0.216558885	rs12472061;rs6709245
CEP68	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	4	0.31163318500000003	rs2024438;rs138177811
COX6B2	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	9	4	0.25346581	rs4806668;rs3810168
MAPKBP1	2	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	4	0.22717192	rs12441249;rs12915829
MEF2D	2	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	4	0.18609859	rs947660;rs4453029
PDZK1IP1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	8	4	0.262874755	rs2798349;rs2245122
PXDNL	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	4	0.43738388	rs7459977;rs12674620
SBNO2	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	4	4	0.301728485	rs9304882;rs2019107
SUMF2	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	4	0.40927395	rs10271662;rs10252442
WAPL	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	5	4	0.21364735499999998	rs7094132;rs7900701
NSMF	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	42	11	0.34671636	rs12005738;rs11497278
ATL2	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	9	0.24344395	rs11674467;rs2551188
ARMC10	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	8	0.27955655	rs7789727;rs2074624
CDS1	2	1	mixed_trait_axis;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	1	2	0	2	15	8	0.222529645	rs6531779;rs7692223
NMRAL1	2	1	mixed_trait_axis;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	1	2	0	2	16	8	0.29049256	rs3789038;rs804179
ANAPC15	2	1	mixed_trait_axis;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	21	7	0.361855045	rs7924834;rs2155142
PSMG1	2	1	systemic_non_neural;systemic_other	2	hidden_lt0.2	core_exact_n10	1	2	0	2	11	7	0.186607565	rs760166;rs2272576
SMARCC2	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	14	7	0.3752563	rs4759218;rs10747761
SPG7	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	8	7	0.24047962	rs3114870;rs8043788
NTRK1	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	1	2	0	2	12	6	0.30773501000000003	rs7522395;rs2150906
PIK3R2	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	14	6	0.24366757	rs1011320;rs273476
POMK	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	6	6	0.20966549	rs4559283;rs4523300
TMEM216	2	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	13	6	0.22367862500000002	rs896831;rs2305465
XRCC4	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	6	6	0.25781891	rs301286;rs387002
CCPG1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	9	5	0.22204099	rs11071182;rs12903378
CHTF8	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	10	5	0.20544126499999998	rs12103226;rs2232228
DYNLL1	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	15	5	0.27887395000000004	rs787820;rs12857
FLVCR2	2	1	neural_enriched;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	1	2	0	2	13	5	0.31641915	rs8018962;rs2268626
PBX3	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	8	5	0.24612952	rs2841338;rs10760398
PRKCSH	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	9	5	0.257524195	rs318699;rs311805
TMEM163	2	1	neural_enriched;neuro_systemic	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	10	5	0.21260769499999999	rs7560738;rs3769025
TTC31	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	10	5	0.294276385	rs73949689;rs363618
GPT2	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	7	4	0.23434131	rs8054039;rs4967621
INIP	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	11	4	0.37926122500000004	rs787272;rs2796032
KCNIP3	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	8	4	0.20804528	rs2320624;rs6725821
MAST3	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	7	4	0.22533117000000003	rs273276;rs273476
SH3GLB1	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	4	0.26946263	rs1419132;rs11161932
SLC16A1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	13	4	0.242959155	rs773432;rs4839276
RTN4RL2	2	1	mixed_trait_axis;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	36	10	0.287804615	rs2584856;rs2584862
YPEL4	2	1	mixed_trait_axis;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	36	10	0.287804615	rs2584856;rs2584862
HMOX2	2	1	mixed_trait_axis;neural_enriched	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	0	2	0	2	16	8	0.25176129999999997	rs3789038;rs11639998
STYXL1	2	1	mixed_trait_axis;neural_enriched	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	23	8	0.28173296999999997	rs42184;rs7804806
TMEM120A	2	1	mixed_trait_axis;neural_enriched	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	23	8	0.28173296999999997	rs42184;rs7804806
COQ10A	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	12	7	0.36537294	rs6581091;rs1274493
ECHS1	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	16	7	0.33006355	rs10776679;rs4838721
FEZ1	2	1	mixed_trait_axis;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	7	0.237249535	rs600883;rs2702023
PAOX	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	16	7	0.33006355	rs10776679;rs4838721
ANAPC7	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	6	0.28002161999999997	rs7304243;rs3759382
ARL2	2	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	6	0.35799603	rs680273;rs10897533
MRPS5	2	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	6	0.24861395000000003	rs1875402;rs6725821
MTG1	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	15	6	0.341550545	rs7074435;rs4838721
RASL12	2	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	6	0.19709373	rs11071827;rs7172429
ZNF514	2	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	6	0.24861395000000003	rs1875402;rs6725821
ANKRD34A	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	5	0.280346055	rs7212;rs4636400
C11ORF1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	5	0.21797434999999998	rs10891304;rs489417
CDR2L	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.30325236499999997	rs902731;rs7210122
HID1	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.30325236499999997	rs902731;rs7210122
P3H1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	6	5	0.234122805	rs4660673;rs4660654
PRMT5	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.219383365	rs8003201;rs3751498
RBM23	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.219383365	rs8003201;rs3751498
RBM8A	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	5	0.280346055	rs7212;rs4636400
SNTB2	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	5	0.21114759	rs12103226;rs153047
TBX6	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	13	5	0.253116615	rs4788413;rs4787493
ARPC2	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	4	4	0.21208748	rs1567869;rs6743642
CCNDBP1	2	1	neuro_systemic;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	5	4	0.23602378499999999	rs11632120;rs12913112
DCK	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	6	4	0.241795485	rs10446507;rs1026677
EHD1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	7	4	0.24153596	rs3936999;rs10897533
EID3	2	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10	0	2	0	2	11	4	0.28920052500000004	rs10861170;rs4246269
EMG1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	4	0.27515973	rs16933023;rs7966756
LRRC23	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	6	4	0.251662685	rs7966756;rs2187611
OBSCN	2	1	neuro_systemic;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	6	4	0.24318348	rs601050;rs11590118
PATL2	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	7	4	0.2571249	rs2255235;rs3759878
PIP5KL1	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	5	4	0.21487467500000001	rs7028190;rs1571141
PNKD	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	4	4	0.21208748	rs1567869;rs6743642
SPSB2	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	6	4	0.251662685	rs7966756;rs2187611
ZBTB4	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	4	0.328293975	rs4632183;rs9890920
ISY1	5	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	5	0	5	12	5	0.3298289	rs11719332;rs9865992;rs7638827;rs6808250;rs9289337
CLIC4	4	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	4	4	0	4	16	7	0.27402669	rs6604978;rs6692599;rs9332415;rs12732115
CNBP	4	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	0	4	0	4	13	6	0.32033211	rs2046259;rs11719332;rs9865992;rs6808250
LRRC8D	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	12	6	0.23770119	rs2816866;rs2490113;rs6690747
TOMM20L	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	3	3	0	3	16	6	0.38315013	rs6764;rs2031419;rs6763
GPRC5C	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	12	5	0.23496038	rs4789658;rs2706527;rs9906415
ZYX	3	1	neuro_systemic	1	moderate_0.2_0.5	lower_recurrence_exact	3	3	0	3	7	5	0.27258152	rs12532738;rs7792164;rs2949752
KLF13	3	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	3	3	0	3	8	4	0.20193748	rs4586393;rs4261489;rs6493639
CDCA4	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	3	0	3	15	9	0.24282444	rs2241867;rs7159328;rs2582567
ZBED5	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	2	3	0	3	17	7	0.25686413	rs4909953;rs7932171;rs10743150
LRRC10B	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	3	0	3	12	6	0.23883002	rs2924447;rs2943813;rs3019188
RIPK1	3	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	3	0	3	7	6	0.25173807	rs9392453;rs9405191;rs927340
PHF21A	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	19	7	0.33036017	rs1401421;rs2959095;rs10838530
MARVELD2	3	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	3	0	3	9	5	0.25056735	rs3756399;rs2010354;rs11955686
RABL6	3	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	10	5	0.2117397	rs2784092;rs2811793;rs2811795
EARS2	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	0	3	0	3	30	12	0.28231066	rs2040574;rs7202661;rs7203580
UBFD1	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	0	3	0	3	30	12	0.28231066	rs2040574;rs7202661;rs7203580
CCM2	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	5	0.20764424	rs2158564;rs6463259;rs1859489
NACAD	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	5	0.20764424	rs2158564;rs6463259;rs1859489
TBRG4	3	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	5	0.20764424	rs2158564;rs6463259;rs1859489
UBE2B	3	1	systemic_other	1	moderate_0.2_0.5	lower_recurrence_exact	0	3	0	3	4	3	0.21946566	rs254051;rs2300065;rs328040
EIF3F	2	1	neuro_systemic	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	18	10	0.22280816	rs11041706;rs4758038
ABCD3	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	6	0.340776965	rs6675959;rs1999271
DENND4A	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	6	0.25950151	rs10851749;rs2899713
DEPTOR	2	1	systemic_non_neural	1	hidden_lt0.2	core_exact_n10	2	2	0	2	10	6	0.18780785	rs6469882;rs1356747
GJC1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	6	0.261058475	rs8064669;rs758020
GULP1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	6	0.276643325	rs7420808;rs12997039
PFN2	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	9	6	0.23370739000000001	rs9864069;rs2035741
PPFIA1	2	1	neuro_systemic	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	9	6	0.26056325	rs2509158;rs480105
PRMT2	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	18	6	0.28029995	rs8131044;rs9306158
TCAF1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	16	6	0.3356793	rs7807308;rs4636119
TMEM221	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	9	6	0.20435039	rs12984915;rs890839
ADGRE1	2	1	neural_enriched	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	17	5	0.233103785	rs11665875;rs11669654
DCP1A	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	5	0.247341215	rs6806814;rs2358619
FAM81A	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	13	5	0.30733234	rs4291860;rs4296198
MIB1	2	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	12	5	0.21748592	rs8092100;rs9948906
NDUFS5	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	5	0.206578545	rs4336843;rs7550511
PRAM1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	5	0.4030498	rs7507526;rs10421511
RAB10	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	9	5	0.27064465000000004	rs11688934;rs7596494
TOR4A	2	1	systemic_other	1	moderate_0.2_0.5	core_exact_n10	2	2	0	2	13	5	0.204007895	rs61759822;rs11533155
GNAQ	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	4	0.22585956000000001	rs10869964;rs10781459
LGALSL	2	1	neuro_systemic	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	8	4	0.22317029500000002	rs4671087;rs10865346
MFNG	2	1	systemic_other	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	7	4	0.28376901499999996	rs2015524;rs2015819
NTMT1	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	6	4	0.28299528500000004	rs4509442;rs1861782
RAP1GAP2	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	5	4	0.21405512999999998	rs7207048;rs894664
TTC30A	2	1	systemic_other	1	hidden_lt0.2	core_exact_n10	2	2	0	2	10	4	0.176556055	rs10190306;rs1545363
EXOC7	2	1	systemic_other	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	3	0.31204596	rs2665991;rs2257020
FAM168A	2	1	systemic_other	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	4	3	0.32539855	rs10501411;rs17310374
NXNL2	2	1	systemic_other	1	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	4	3	0.264515005	rs10868772;rs12339977
SLC5A10	2	1	systemic_other	1	moderate_0.2_0.5	core_exact_n10	2	2	0	2	10	3	0.2835045	rs115250081;rs116139938
UQCRC2	2	1	systemic_other	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	10	3	0.20871699	rs9788908;rs1862648
TEN1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	26	9	0.26868373	rs12945114;rs8082573
AGK	2	1	neuro_systemic	1	moderate_0.2_0.5	core_exact_n10	1	2	0	2	14	8	0.29008519	rs11768654;rs12539011
C19ORF38	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	17	7	0.25787677	rs8100581;rs892010
GOLGA8B	2	1	neuro_systemic	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	15	7	0.21173111	rs16954442;rs35414723
BAK1	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	7	6	0.31484572	rs1755038;rs413722
EFCAB12	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	1	2	0	2	15	6	0.34099717500000004	rs4293717;rs6808250
IKZF4	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	14	6	0.28250647	rs2629450;rs10747761
RASGRP2	2	1	neural_enriched	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	11	6	0.338202015	rs680273;rs490980
SUCLG1	2	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	6	0.19865281	rs12714129;rs4832084
TUBGCP2	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	15	6	0.283330965	rs7074435;rs7907603
GCAT	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	8	5	0.217496	rs5756802;rs1010287
MEGF6	2	1	systemic_other	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	12	5	0.251902445	rs7553399;rs2821040
SH3BP1	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	9	5	0.211231905	rs8140958;rs5756802
WDTC1	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	8	5	0.26622861000000003	rs3813790;rs4460661
ZDHHC11	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	2	0	2	10	5	0.317717225	rs454805;rs6865411
GLTP	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	5	4	0.213961985	rs1027949;rs16940760
MYO19	2	1	systemic_other	1	moderate_0.2_0.5	core_exact_n10	1	2	0	2	14	4	0.32497649	rs2005488;rs1542611
NEK5	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	6	4	0.20406845	rs2031993;rs4941716
TPPP	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	1	2	0	2	8	4	0.347602425	rs6865411;rs6894757
GSTM1	2	1	neural_enriched	1	moderate_0.2_0.5	core_exact_n10	1	2	0	2	10	3	0.32853529000000004	rs1109138;rs530021
LRP2BP	2	1	systemic_other	1	moderate_0.2_0.5	core_exact_n10	1	2	0	2	12	2	0.41050900999999995	rs12509189;rs2310159
GGA2	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10	0	2	0	2	19	9	0.27266862999999997	rs7202661;rs7203580
ADH5	2	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	0	2	0	2	20	8	0.28250438	rs2004994;rs6848246
EIF4E	2	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	0	2	0	2	20	8	0.28250438	rs2004994;rs6848246
FNIP1	2	1	neuro_systemic	1	hidden_lt0.2	core_exact_n10	0	2	0	2	13	8	0.153208825	rs644713;rs247004
GNPDA1	2	1	neuro_systemic	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	8	0.26618003999999995	rs7408;rs252112
RAPGEF6	2	1	neuro_systemic	1	hidden_lt0.2	core_exact_n10	0	2	0	2	13	8	0.153208825	rs644713;rs247004
RNF14	2	1	neuro_systemic	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	8	0.26618003999999995	rs7408;rs252112
SCRIB	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	19	8	0.31254903	rs4874100;rs12681370
LRR1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	14	7	0.23827684500000001	rs3126165;rs3100908
ABHD11	2	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	6	0.209500715	rs13241921;rs4440516
ANKRD13D	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	6	0.265388785	rs7934433;rs1894111
CASKIN2	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	6	0.22556192	rs11652993;rs3935674
CLDN4	2	1	systemic_non_neural	1	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	6	0.209500715	rs13241921;rs4440516
LRWD1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	12	6	0.261176285	rs4481505;rs7384178
SSH3	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	6	0.265388785	rs7934433;rs1894111
ASL	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	10	5	0.35905467	rs4718277;rs4718273
ATP2C1	2	1	systemic_non_neural	1	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	2	0	2	11	5	0.25026312	rs852217;rs643417
CARF	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	5	0.248267045	rs2052944;rs10755020
CCDC183	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	5	0.213527565	rs2811793;rs2811795
CDK7	2	1	systemic_non_neural	1	moderate_0.2_0.5	lower_recurrence_exact	0	2	0	2	9	5	0.268132975	rs3756399;rs2010354
